	query acc	query length	subject acc	subject length	bit score	score	alignment length	% identity	subject tax id
379	AC008728.1	691	AC140245	195082	239.0	129	235	85.106	10090
380	FTX	12267	AL139400	87430	12144.0	6576	6576	100.0	9606
381	FTX	12267	AC192928	184178	1615.0	874	1079	93.883	9598
382	GSEC	2289	AK096370	2293	4204.0	2276	2293	99.782	9606
383	GSEC	2289	AC160021	201789	291.0	157	282	85.816	9598
384	AP000892.1	488	NG_033032	98489	377.0	204	204	100.0	9606
385	AP000892.1	488	XM_016922048	7734	355.0	192	204	98.039	9598
386	AP000892.1	488	XM_024975764	5801	89.8	48	83	86.747	9913
387	AP000892.1	488	NM_001081373	5513	84.2	45	64	90.625	10090
388	AL049795.1	786	XM_017001828	3085	484.0	262	262	100.0	9606
389	AL049795.1	786	XM_003307947	2447	473.0	256	262	99.237	9598
390	AL049795.1	786	NM_001024492	2250	220.0	119	194	87.113	9913
391	AC100814.1	623	AC100814	169537	1151.0	623	623	100.0	9606
392	AC002064.1	733	AL137642	769	1349.0	730	733	99.864	9606
393	AC002064.1	733	AC147087	130280	676.0	366	366	100.0	9598
394	AC011462.4	449	CP068259	61707359	830.0	449	449	100.0	9606
395	LINC02199	2702	XR_925772	4284	4990.0	2702	2702	100.0	9606
396	LINC02199	2702	BS000222	189474	593.0	321	841	80.143	9598
397	LINC02322	338	NR_146481	378	625.0	338	338	100.0	9606
398	LINC02322	338	XR_001709188	3228	76.8	41	41	100.0	9598
399	AC005837.3	286	AC005837	163218	529.0	286	286	100.0	9606
400	AC005837.3	286	XR_001711104	2243	503.0	272	289	98.27	9598
401	AC012074.1	1552	AC012074	197652	2867.0	1552	1552	100.0	9606
402	AC012074.1	1552	BS000237	144611	440.0	238	343	90.379	9598
403	AL022328.4	1001	AL022328	177241	1411.0	764	764	100.0	9606
404	AL022328.4	1001	XM_016939467	4629	401.0	217	241	96.68	9598
405	LINC00222	1785	AY927443	1785	3267.0	1769	1785	99.72	9606
406	LINC00222	1785	XR_001718625	2450	228.0	123	129	98.45	9598
407	AC099542.1	1014	AC107302	194234	835.0	452	452	100.0	9606
408	AC099542.1	1014	AC146159	163991	148.0	80	148	85.811	9598
409	AC092652.2	622	AC092652	161975	773.0	418	418	100.0	9606
410	AC092652.2	622	AC270709	205784	340.0	184	380	83.421	9598
411	AL589986.2	397	XR_002958366	1960	732.0	396	396	100.0	9606
412	AC012360.3	3449	AC012360	200918	6370.0	3449	3449	100.0	9606
413	AC012360.3	3449	XM_009443024	5525	2414.0	1307	1394	97.991	9598
414	AC092903.2	981	XR_002959647	1499	1282.0	694	712	99.298	9606
415	AC092903.2	981	AC183103	191366	826.0	447	477	97.904	9598
416	AP001351.1	1865	NR_133571	1883	3445.0	1865	1865	100.0	9606
417	AP001351.1	1865	XM_016921851	4552	368.0	199	202	99.505	9598
418	AP001351.1	1865	BC120232	924	342.0	185	329	85.714	9913
419	AP001351.1	1865	AC113589	213826	222.0	120	174	89.655	10090
420	AP001351.1	1865	XM_417185	8176	183.0	99	177	85.876	9031
421	LINC01242	1966	BC022036	1986	3620.0	1960	1966	99.898	9606
422	LINC01242	1966	XM_024357255	1632	161.0	87	454	73.568	9598
423	AL591895.1	348	XR_949163	3441	564.0	305	305	100.0	9606
424	AL591895.1	348	XM_016939809	5178	82.4	44	44	100.0	9598
425	AC136698.1	546	AC278955	98208	540.0	292	292	100.0	9606
426	AC136698.1	546	XR_002939694	6322	525.0	284	290	99.31	9598
427	AC083906.3	466	AC083906	167875	291.0	157	157	100.0	9606
428	AC083906.3	466	XR_001713628	483	189.0	102	111	97.297	9598
429	LINC02580	952	NR_151714	712	1304.0	706	706	100.0	9606
430	LINC02580	952	XR_003037135	6010	449.0	243	587	80.92	9913
431	LINC02580	952	XR_001715744	1777	154.0	83	86	98.837	9598
432	LINC00871	866	NR_102701	946	1600.0	866	866	100.0	9606
433	LINC00871	866	XR_170322	833	730.0	395	527	92.6	9598
434	MYLK-AS2	754	XR_001713584	3239	1338.0	724	754	98.674	9598
435	MYLK-AS2	754	NG_029111	279007	1081.0	585	585	100.0	9606
436	AKT3-IT1	517	NG_029764	369847	695.0	376	376	100.0	9606
437	AKT3-IT1	517	AC193009	187001	134.0	72	148	83.784	9598
438	AC079760.1	202	AC226614	41763	207.0	112	112	100.0	9606
439	AC079760.1	202	AC146046	155456	196.0	106	112	98.214	9598
440	AC019294.3	2905	AC019294	164310	5365.0	2905	2905	100.0	9606
441	AC019294.3	2905	AC182398	150565	3241.0	1755	2219	93.285	9598
442	AL445288.1	654	NM_001040429	8300	965.0	522	522	100.0	9606
443	AL445288.1	654	XM_009427021	10040	948.0	513	522	99.425	9598
444	AL445288.1	654	XM_010810653	9960	676.0	366	522	90.038	9913
445	AL445288.1	654	XM_006518905	10475	625.0	338	524	88.168	10090
446	GAPLINC	643	MN297521	615	1016.0	550	641	95.944	9606
447	GAPLINC	643	XR_170583	1028	411.0	222	232	98.707	9598
448	AC114956.3	482	XR_001717733	451	440.0	238	253	98.024	9598
449	AC114956.3	482	AC114310	157366	425.0	230	230	100.0	9606
450	AC114956.3	482	XM_010816784	3021	206.0	111	144	92.361	9913
451	AC021321.1	1113	AC011037	161804	2056.0	1113	1113	100.0	9606
452	AC087482.1	2431	NG_011990	136336	3976.0	2153	2153	100.0	9606
453	AC087482.1	2431	XM_024349256	3492	1496.0	810	834	99.041	9598
454	AL442067.2	363	AL442067	150297	671.0	363	363	100.0	9606
455	AL442067.2	363	XM_016925460	2845	649.0	351	364	98.901	9598
456	C1RL-AS1	5272	NR_026947	5402	9736.0	5272	5272	100.0	9606
457	C1RL-AS1	5272	XR_002938726	4859	7354.0	3982	4154	98.652	9598
458	Z93930.2	516	NG_012266	13013	953.0	516	516	100.0	9606
459	Z93930.2	516	XM_515053	2460	891.0	482	511	98.239	9598
460	AC104809.1	2345	AK055890	2344	4307.0	2332	2345	99.829	9606
461	AC104809.1	2345	XM_024354729	6389	272.0	147	153	98.693	9598
462	AL157832.1	495	NM_002412	4678	488.0	264	267	99.625	9606
463	ZBTB11-AS1	2743	NR_024407	2788	5066.0	2743	2743	100.0	9606
464	ZBTB11-AS1	2743	XM_516629	7438	4626.0	2505	2620	98.588	9598
465	ZBTB11-AS1	2743	XM_024990900	7578	730.0	395	821	83.313	9913
466	ZBTB11-AS1	2743	NR_027965	1350	446.0	241	375	88.267	10090
467	ZBTB11-AS1	2743	NM_001389452	6091	252.0	136	324	81.173	9031
468	CRYZL2P-SEC16B	6212	AK090411	6245	9561.0	5177	5208	99.808	9606
469	CRYZL2P-SEC16B	6212	XM_016933186	4453	5882.0	3185	3259	99.264	9598
470	CRYZL2P-SEC16B	6212	XM_015475127	4053	2867.0	1552	3307	82.855	9913
471	CRYZL2P-SEC16B	6212	AK173302	4574	1779.0	963	2227	81.634	10090
472	AC069224.1	1715	AC069224	164941	3168.0	1715	1715	100.0	9606
473	AC091489.1	691	AC131384	92474	1192.0	645	645	100.0	9606
474	AC091489.1	691	AC278972	192185	89.8	48	48	100.0	9598
475	AL512343.2	490	NG_065173	16296	693.0	375	379	99.736	9606
476	AC012368.1	1504	XR_127096	1185	2019.0	1093	1123	99.11	9598
477	AC012368.1	1504	AC074289	92346	1604.0	868	868	100.0	9606
478	ERICH6-AS1	621	NR_121674	689	1147.0	621	621	100.0	9606
479	ERICH6-AS1	621	XR_679245	485	643.0	348	363	98.623	9598
480	ERICH6-AS1	621	DQ347617	340	207.0	112	230	83.913	9913
481	IGFL2-AS1	1037	NR_135234	1665	1916.0	1037	1037	100.0	9606
482	IGFL2-AS1	1037	AC146196	219011	392.0	212	295	90.847	9598
483	AL512506.1	449	NG_053160	22099	830.0	449	449	100.0	9606
484	AL512506.1	449	XM_009440579	5574	750.0	406	449	96.882	9598
485	AL078645.1	423	AL078645	206089	641.0	347	347	100.0	9606
486	AC106779.1	1018	XR_933619	1427	1881.0	1018	1018	100.0	9606
487	AC104825.1	3249	AC104825	134369	6000.0	3249	3249	100.0	9606
488	AC104825.1	3249	AC190178	202106	198.0	107	353	78.187	9598
489	LINC02256	543	AC279007	157491	641.0	347	347	100.0	9606
490	LINC02256	543	XR_002939594	2821	614.0	332	347	98.559	9598
491	FAM66A	921	BC048994	2637	1182.0	640	708	96.893	9606
492	FAM66A	921	AC150657	173624	878.0	475	545	95.78	9598
493	AL133330.1	704	AF086543	704	1284.0	695	705	99.574	9606
494	AL133330.1	704	AC185971	227874	84.2	45	61	91.803	9598
495	AC114814.1	691	AC114814	181706	876.0	474	474	100.0	9606
496	AC114814.1	691	AC275693	192987	106.0	57	93	87.097	9598
497	AC123768.4	701	AC270676	156647	1295.0	701	701	100.0	9606
498	AC123768.4	701	AC278919	154793	1245.0	674	701	98.716	9598
499	AL157392.3	5918	XM_011519754	16306	10929.0	5918	5918	100.0	9606
500	AL157392.3	5918	AL807832	192480	754.0	408	833	84.394	10090
501	AL157392.3	5918	XM_015298894	6445	431.0	233	462	84.632	9031
502	AL157392.3	5918	AC171106	201708	100.0	54	122	81.967	9598
503	AL157392.3	5918	DQ381152	67848	82.4	44	150	77.333	9913
504	AC073655.1	493	XR_001748736	5330	486.0	263	263	100.0	9606
505	AC073655.1	493	AC123983	187806	91.6	49	70	90.0	9598
506	AC073655.1	493	XR_003947552	10810	58.4	31	34	97.059	10090
507	AL162311.3	2867	AK123575	2867	5289.0	2864	2867	99.965	9606
508	AL162311.3	2867	AC145334	139632	1221.0	661	824	93.568	9598
509	LINC02260	2216	NR_134657	2296	4093.0	2216	2216	100.0	9606
510	LINC02260	2216	AC188686	216952	1664.0	901	1425	88.0	9598
511	AC010907.1	807	AC010907	139357	983.0	532	532	100.0	9606
512	AC010907.1	807	XM_525678	1513	303.0	164	164	100.0	9598
513	NKAIN3-IT1	7040	NM_001304533	20374	13001.0	7040	7040	100.0	9606
514	NKAIN3-IT1	7040	AC200159	206505	1535.0	831	1329	87.735	9598
515	GRID1-AS1	2100	NR_038986	2102	3879.0	2100	2100	100.0	9606
516	GRID1-AS1	2100	XR_001706723	3433	3199.0	1732	1827	98.303	9598
517	GRID1-AS1	2100	AC154730	217242	361.0	195	1075	73.674	10090
518	AP003110.1	717	NR_120566	717	1325.0	717	717	100.0	9606
519	AP003110.1	717	AC191232	216190	178.0	96	158	87.342	9598
520	AC039056.2	511	AP023475	95537968	944.0	511	511	100.0	9606
521	AC039056.2	511	AC185344	190596	883.0	478	511	97.847	9598
522	ASH1L-AS1	911	NR_147963	1232	1683.0	911	911	100.0	9606
523	ASH1L-AS1	911	XR_002939316	1195	603.0	326	353	97.45	9598
524	ASH1L-AS1	911	XM_015462302	11196	183.0	99	125	93.6	9913
525	ASH1L-AS1	911	XR_001783666	6659	111.0	60	119	84.034	10090
526	LINC01451	3402	NR_135288	3402	6283.0	3402	3402	100.0	9606
527	AC012645.1	1650	NR_135192	2990	3048.0	1650	1650	100.0	9606
528	AC012645.1	1650	XR_674900	2872	2981.0	1614	1650	99.273	9598
529	AL049648.1	282	CP068258	66210247	375.0	203	203	100.0	9606
530	LINC02528	535	AL591397	82646	808.0	437	437	100.0	9606
531	AC092910.3	982	XR_001740863	1803	1020.0	552	552	100.0	9606
532	AL136985.3	2708	AL136985	142664	4061.0	2199	2199	100.0	9606
533	AL136985.3	2708	GQ477207	693	1236.0	669	693	98.846	9598
534	AL669831.5	1873	AC277859	213269	3459.0	1873	1873	100.0	9606
535	AL669831.5	1873	AC187629	181348	3373.0	1826	1875	99.147	9598
536	TSC22D1-AS1	2845	NR_038381	2857	5249.0	2842	2842	100.0	9606
537	TSC22D1-AS1	2845	XM_024348540	6309	682.0	369	378	99.206	9598
538	TSC22D1-AS1	2845	XR_003950836	5181	468.0	253	375	89.333	10090
539	TSC22D1-AS1	2845	XM_005213606	4545	464.0	251	392	88.776	9913
540	AC068722.2	544	AP023475	95537968	1005.0	544	544	100.0	9606
541	AC068722.2	544	AC216030	190669	89.8	48	329	72.644	9598
542	LINC00271	1580	NR_026805	1666	2918.0	1580	1580	100.0	9606
543	LINC00271	1580	XM_016956354	2234	2126.0	1151	1214	98.353	9598
544	AC008026.3	1707	AK024082	1733	3142.0	1701	1707	99.883	9606
545	AC008026.3	1707	AC275694	198452	2156.0	1167	1192	99.329	9598
546	AC016575.1	382	NG_008273	173986	706.0	382	382	100.0	9606
547	AC009320.1	349	XR_931472	2873	521.0	282	349	94.556	9606
548	AC009320.1	349	XR_001708051	1295	185.0	100	106	98.113	9598
549	OR2A1-AS1	819	XR_002959126	825	658.0	356	367	99.183	9606
550	OR2A1-AS1	819	AC188686	216952	643.0	348	348	100.0	9598
551	AC024230.1	889	AC079755	184471	896.0	485	485	100.0	9606
552	AC024230.1	889	CT737236	185887	207.0	112	220	84.091	9598
553	AC145124.1	1361	XR_001714873	1575	2226.0	1205	1324	97.054	9598
554	AC145124.1	1361	NR_040092	2296	1899.0	1028	1046	99.426	9606
555	AP000842.3	1080	AP000842	179848	1995.0	1080	1080	100.0	9606
556	AP000842.3	1080	AC093571	164807	385.0	208	545	80.367	9598
557	AC079145.1	541	NR_110235	1150	1000.0	541	541	100.0	9606
558	AC079145.1	541	XR_677974	1137	922.0	499	520	98.654	9598
559	AL355974.3	467	XR_002957496	15283	863.0	467	467	100.0	9606
560	AL355974.3	467	AC190174	192481	108.0	58	80	91.25	9598
561	AP002026.1	4825	NR_037884	4827	8911.0	4825	4825	100.0	9606
562	AP002026.1	4825	XR_002943549	5203	5694.0	3083	3321	97.862	9598
563	GLIS3-AS1	734	NR_026663	730	1349.0	730	730	100.0	9606
564	GLIS3-AS1	734	XR_682128	730	1271.0	688	730	98.082	9598
565	HLCS-IT1	531	NG_016193	248770	521.0	282	282	100.0	9606
566	HLCS-IT1	531	BS000117	155641	472.0	255	282	96.809	9598
567	AC093158.1	791	NG_032939	353180	765.0	414	414	100.0	9606
568	AC093158.1	791	XM_009459335	3670	180.0	97	97	100.0	9598
569	AC093158.1	791	XM_024989529	2909	147.0	79	97	93.814	9913
570	ERI3-IT1	619	NR_046817	661	1144.0	619	619	100.0	9606
571	AC011450.1	573	AK097351	1820	1057.0	572	572	100.0	9606
572	AC011450.1	573	XM_016947052	3203	813.0	440	443	99.774	9598
573	AC011450.1	573	XM_024978062	1206	86.1	46	55	94.545	9913
574	AC000120.1	1589	AL049325	1611	2887.0	1563	1591	99.434	9606
575	AC000120.1	1589	AC161122	211581	2063.0	1117	1167	98.629	9598
576	AC000120.1	1589	XM_024990520	3145	372.0	201	349	86.819	9913
577	AC000120.1	1589	NM_001170552	6034	346.0	187	356	84.831	10090
578	AC010998.3	631	XR_946373	3326	1166.0	631	631	100.0	9606
579	AC010998.3	631	AC163735	214676	100.0	54	134	80.597	9598
580	AC010998.3	631	XR_003035510	1045	71.3	38	41	97.561	9913
581	VWA8-AS1	2079	NR_039974	2091	3840.0	2079	2079	100.0	9606
582	VWA8-AS1	2079	XR_677301	1111	1949.0	1055	1102	98.73	9598
583	SNHG22	1615	NR_117096	1615	2983.0	1615	1615	100.0	9606
584	RBAKDN	514	NR_015343	599	950.0	514	514	100.0	9606
585	RBAKDN	514	XM_016957051	558	861.0	466	516	96.899	9598
586	AC093227.1	1360	AP023479	59105444	2220.0	1202	1205	99.917	9606
587	AC093227.1	1360	XM_001171996	3398	145.0	78	96	93.75	9598
588	THUMPD3-AS1	3253	BC036698	3270	5952.0	3223	3254	99.693	9606
589	THUMPD3-AS1	3253	XM_001145166	2674	4119.0	2230	2334	98.543	9598
590	AC022164.1	2673	AC022164	208207	4937.0	2673	2673	100.0	9606
591	AC022164.1	2673	AC155807	167996	324.0	175	370	82.973	10090
592	AC022164.1	2673	AC147328	207176	178.0	96	223	82.063	9598
593	AC093423.2	437	AC093423	185182	292.0	158	161	99.379	9606
594	LINC02475	2622	NR_131958	2620	4839.0	2620	2620	100.0	9606
595	LINC02475	2622	XR_001716865	673	556.0	301	310	99.032	9598
596	AC142472.1	1741	AC142472	34891	3216.0	1741	1741	100.0	9606
597	AC142472.1	1741	XM_511566	5521	3081.0	1668	1742	98.622	9598
598	AL390036.1	2439	XR_002959086	5422	3286.0	1779	1779	100.0	9606
599	AL390036.1	2439	AC145869	201977	106.0	57	211	76.303	9598
600	AL139807.1	704	AL022098	130753	516.0	279	286	99.301	9606
601	AL139807.1	704	XM_016954901	4537	100.0	54	54	100.0	9598
602	AL031005.1	723	NG_013008	135295	747.0	404	404	100.0	9606
603	AL031005.1	723	AC193013	168557	734.0	397	404	99.505	9598
604	AL031005.1	723	AC097354	242318	67.6	36	48	91.667	10090
605	C9orf170	3239	NR_161226	3409	5982.0	3239	3239	100.0	9606
606	C9orf170	3239	XM_001137475	4271	5664.0	3067	3246	98.213	9598
607	HLA-F-AS1	2835	AL832418	2965	5086.0	2754	2836	99.083	9606
608	HLA-F-AS1	2835	BA000041	1750601	2867.0	1552	1712	97.196	9598
609	AL645608.2	3043	AK056486	3043	5609.0	3037	3043	99.934	9606
610	AL645608.2	3043	XR_002944712	3993	3988.0	2159	2319	97.758	9598
611	SPATA42	535	NR_034168	546	989.0	535	535	100.0	9606
612	SPATA42	535	XR_001708080	471	680.0	368	395	97.722	9598
613	AC005009.2	687	AC005009	71235	804.0	435	435	100.0	9606
614	AC005009.2	687	AC145091	175672	774.0	419	440	98.636	9598
615	AC005009.2	687	BC149076	2992	215.0	116	164	90.244	9913
616	AC005009.2	687	XM_036164718	4322	191.0	103	163	87.73	10090
617	LINC00605	1558	NR_033938	1573	2878.0	1558	1558	100.0	9606
618	LINC00605	1558	AC195530	180653	1881.0	1018	1053	98.955	9598
619	LINC01311	1445	AP023482	46684173	2669.0	1445	1445	100.0	9606
620	LINC01311	1445	AC279135	192378	2586.0	1400	1445	98.962	9598
621	RASAL2-AS1	2329	NR_027982	2456	4301.0	2329	2329	100.0	9606
622	RASAL2-AS1	2329	XM_001154236	10336	564.0	305	354	95.763	9598
623	AL360268.2	380	AL360268	110130	383.0	207	207	100.0	9606
624	AL360268.2	380	AC195639	206872	377.0	204	207	99.517	9598
625	AL590867.1	1212	AK298863	1212	2233.0	1209	1212	99.917	9606
626	AL590867.1	1212	XR_002944321	1210	2121.0	1148	1212	98.267	9598
627	LINC02018	1268	NR_151706	1324	2342.0	1268	1268	100.0	9606
628	LINC02018	1268	XR_002943148	1316	2130.0	1153	1280	96.875	9598
629	SLC9A9-AS1	518	NR_048544	518	957.0	518	518	100.0	9606
630	SLC9A9-AS1	518	XR_001713695	6257	839.0	454	479	98.33	9598
631	AC108010.1	1552	XR_927954	3399	2795.0	1513	1513	100.0	9606
632	AC108010.1	1552	XR_001719250	1133	1134.0	614	662	97.583	9598
633	AC108010.1	1552	NM_001192827	3559	944.0	511	610	94.59	9913
634	AC108010.1	1552	AK014829	2646	883.0	478	610	92.787	10090
635	AC108010.1	1552	XM_025144233	4723	617.0	334	611	84.943	9031
636	AL161935.1	1003	AL161935	191824	846.0	458	458	100.0	9606
637	AC008805.2	435	CP068259	61707359	743.0	402	402	100.0	9606
638	AC008805.2	435	AC194994	182936	167.0	90	161	85.714	9598
639	AC016405.1	758	NG_046951	200167	649.0	351	355	99.718	9606
640	AC016405.1	758	XM_016950710	2614	403.0	218	312	90.064	9598
641	AC016405.1	758	XM_005223943	2043	364.0	197	307	88.274	9913
642	AC078788.1	634	AC078788	166538	926.0	501	501	100.0	9606
643	AC078788.1	634	XR_001713742	1164	224.0	121	133	96.992	9598
644	AC048382.2	492	NM_001267536	4553	603.0	326	330	99.697	9606
645	AC048382.2	492	XM_024349352	1522	261.0	141	147	98.639	9598
646	AC107029.1	465	XR_001740466	4495	739.0	400	400	100.0	9606
647	AC107029.1	465	XR_001713479	2299	538.0	291	300	99.0	9598
648	AC107029.1	465	AC156023	196765	394.0	213	341	87.977	10090
649	AC092747.1	380	AC092747	162400	492.0	266	266	100.0	9606
650	AC007566.1	643	XR_002956473	4329	1188.0	643	643	100.0	9606
651	AC007566.1	643	AC145964	184675	682.0	369	369	100.0	9598
652	AC007566.1	643	JN957628	41032	324.0	175	250	90.0	10090
653	AC007566.1	643	XM_024990552	4381	322.0	174	231	91.775	9913
654	AC013652.2	910	AP023475	95537968	1253.0	678	678	100.0	9606
655	AC013652.2	910	AC145090	173759	333.0	180	662	76.586	9598
656	AC013652.2	910	AC150644	199501	158.0	85	589	72.496	9913
657	AC013652.2	910	CU463840	165245	102.0	55	274	73.723	10090
658	AL158210.1	500	NR_120634	3470	924.0	500	500	100.0	9606
659	AL158210.1	500	XR_001721210	9215	830.0	449	470	98.511	9598
660	RHPN1-AS1	1918	NR_026785	2030	3542.0	1918	1918	100.0	9606
661	RHPN1-AS1	1918	XM_001161197	9975	248.0	134	277	83.394	9598
662	AC010331.1	582	AC010331	114491	1075.0	582	582	100.0	9606
663	AC010331.1	582	AC193905	190327	1026.0	555	582	98.454	9598
664	LINC00310	2086	AP000316	24518	2732.0	1479	1479	100.0	9606
665	LINC00310	2086	BS000187	45529	2625.0	1421	1485	98.653	9598
666	AC092535.3	468	NR_134676	493	865.0	468	468	100.0	9606
667	AC092535.3	468	AC194569	180384	427.0	231	240	98.75	9598
668	AC108463.3	1482	BC035991	1512	2737.0	1482	1482	100.0	9606
669	AC108463.3	1482	AC270571	203012	2641.0	1430	1483	98.854	9598
670	AC091544.5	446	AP023475	95537968	514.0	278	282	99.645	9606
671	AC091544.5	446	XR_001709588	14910	300.0	162	168	98.81	9598
672	AC091057.2	970	BC016363	998	1759.0	952	965	99.585	9606
673	AC091057.2	970	XM_024349106	3215	1301.0	704	740	98.514	9598
674	LINC02471	4752	AC079630	178388	6706.0	3631	3631	100.0	9606
675	LINC02471	4752	AC161620	204271	6305.0	3414	3633	98.128	9598
676	AP001094.2	2315	CP068260	80542536	4276.0	2315	2315	100.0	9606
677	AP001094.2	2315	AC093709	195646	124.0	67	115	86.087	9598
678	DNAJC9-AS1	2865	NR_038373	2858	5278.0	2858	2858	100.0	9606
679	DNAJC9-AS1	2865	XR_001706660	366	411.0	222	228	99.123	9598
680	AC005746.3	393	AC005746	189356	726.0	393	393	100.0	9606
681	SCGB1B2P	612	NR_170966	2264	1131.0	612	612	100.0	9606
682	AL450344.3	378	NG_051299	250803	606.0	328	328	100.0	9606
683	AL450344.3	378	XM_016956480	11830	595.0	322	328	99.39	9598
684	AL049569.1	636	AC270613	214292	833.0	451	451	100.0	9606
685	AL049569.1	636	XM_016954962	4035	241.0	130	133	99.248	9598
686	AL049569.1	636	JN948567	38467	100.0	54	130	80.769	10090
687	AL138955.1	1040	NG_041830	124851	1921.0	1040	1040	100.0	9606
688	AC100803.3	2961	AF370371	2978	5422.0	2936	2962	99.73	9606
689	AC100803.3	2961	AC194638	223455	4211.0	2280	2532	96.88	9598
690	AC100803.3	2961	AC119884	168400	206.0	111	169	88.757	10090
691	AC100803.3	2961	XM_025002001	7095	183.0	99	129	92.248	9913
692	AC092802.1	2447	NR_125949	2447	4519.0	2447	2447	100.0	9606
693	AC092802.1	2447	XR_673491	2540	4279.0	2317	2451	98.246	9598
694	AC005840.2	1803	AC005840	140026	3035.0	1643	1643	100.0	9606
695	AC005840.2	1803	AC275872	178587	122.0	66	129	83.721	9598
696	AC090825.1	665	AP023475	95537968	662.0	358	361	99.723	9606
697	AC090825.1	665	XM_024349381	2966	616.0	333	357	97.759	9598
698	Z93930.3	749	Z93930	97835	1384.0	749	749	100.0	9606
699	AC019155.2	1918	NR_110182	1918	3542.0	1918	1918	100.0	9606
700	AC019155.2	1918	AC193000	184729	2244.0	1215	1266	98.657	9598
701	AC103796.1	358	AJ011602	358	662.0	358	358	100.0	9606
702	N4BP2L2-IT2	4890	NR_026928	4890	9031.0	4890	4890	100.0	9606
703	N4BP2L2-IT2	4890	CU311202	137115	150.0	81	412	74.272	9598
704	AC134043.1	638	AC011376	132768	828.0	448	448	100.0	9606
705	AC134043.1	638	XM_518069	3489	209.0	113	113	100.0	9598
706	AC019257.1	1464	NR_136274	1623	2704.0	1464	1464	100.0	9606
707	AC019257.1	1464	XM_016959053	1052	503.0	272	287	98.258	9598
708	AL133243.3	3004	AL133243	166318	5548.0	3004	3004	100.0	9606
709	AL133243.3	3004	XM_016948330	13807	3118.0	1688	1727	99.247	9598
710	LINC01535	1699	NR_110718	1740	3138.0	1699	1699	100.0	9606
711	LINC01535	1699	AC183296	180482	867.0	469	531	96.234	9598
712	NECTIN3-AS1	792	NR_045114	1142	965.0	522	522	100.0	9606
713	NECTIN3-AS1	792	XR_001713527	1553	948.0	513	522	99.425	9598
714	NECTIN3-AS1	792	AC113113	216380	110.0	59	117	83.761	10090
715	AL078605.1	500	AL078605	119563	924.0	500	500	100.0	9606
716	ALOX12-AS1	1730	AK074580	2021	3168.0	1715	1731	99.711	9606
717	ALOX12-AS1	1730	XR_001710736	783	689.0	373	379	99.472	9598
718	ALOX12-AS1	1730	JN956272	38361	287.0	155	230	89.13	10090
719	ALOX12-AS1	1730	XM_005220195	2535	241.0	130	214	86.916	9913
720	AC104564.5	1052	CP068261	84277185	1943.0	1052	1052	100.0	9606
721	AC104564.5	1052	XR_675314	692	137.0	74	77	98.701	9598
722	AC022929.2	2127	AP023475	95537968	3928.0	2127	2127	100.0	9606
723	AC022929.2	2127	AC220988	207392	1498.0	811	902	96.674	9598
724	AL117335.1	948	MN297783	1520	1184.0	641	641	100.0	9606
725	AL117335.1	948	XM_016937315	4268	398.0	215	258	94.961	9598
726	AC021231.1	1342	XR_932103	6021	2350.0	1272	1272	100.0	9606
727	AF117829.1	3802	AF117829	320187	7022.0	3802	3802	100.0	9606
728	AF117829.1	3802	XR_002937728	4699	6743.0	3651	3802	98.685	9598
729	AL133453.1	581	NM_001382467	5112	990.0	536	536	100.0	9606
730	AL133453.1	581	XM_509950	5251	953.0	516	538	98.699	9598
731	AFAP1-AS1	6795	NR_026892	6810	12549.0	6795	6795	100.0	9606
732	AFAP1-AS1	6795	XR_001716731	6949	6407.0	3469	3635	98.514	9598
733	AFAP1-AS1	6795	AC127275	180919	254.0	137	213	88.263	10090
734	AC007881.3	607	AC278940	167848	1122.0	607	607	100.0	9606
735	AC005005.3	1410	CP068256	51353906	2604.0	1410	1410	100.0	9606
736	AC005005.3	1410	XM_016938985	4584	1548.0	838	847	99.646	9598
737	AC005005.3	1410	XM_005218154	3333	152.0	82	133	87.218	9913
738	ZNF529-AS1	1033	NR_110705	1058	1908.0	1033	1033	100.0	9606
739	ZNF529-AS1	1033	XR_001711796	1482	881.0	477	540	96.481	9598
740	AC098820.2	666	XR_001739881	636	869.0	470	470	100.0	9606
741	AC098820.2	666	XM_009444242	3308	416.0	225	234	98.718	9598
742	ITFG1-AS1	494	NR_110903	881	913.0	494	494	100.0	9606
743	ITFG1-AS1	494	XR_001710325	1356	326.0	176	182	98.901	9598
744	AL583859.2	1127	AL583859	167611	1587.0	859	863	99.884	9606
745	AL583859.2	1127	AL845485	230213	195.0	105	132	93.182	10090
746	AL583859.2	1127	AC184155	170206	121.0	65	108	87.037	9598
747	AC007098.1	2069	NR_027069	2069	3821.0	2069	2069	100.0	9606
748	AC007098.1	2069	AL669858	240514	1136.0	615	1506	81.142	10090
749	AC007098.1	2069	XM_009442540	4416	219.0	118	121	99.174	9598
750	AC007098.1	2069	XM_005212829	5158	158.0	85	121	90.083	9913
751	Z82243.1	473	Z82243	52120	874.0	473	473	100.0	9606
752	Z82243.1	473	AC199234	233578	97.1	52	101	84.158	9598
753	Z82243.1	473	AC134904	198357	52.8	28	28	100.0	10090
754	MAFTRR	1859	AC087188	187870	2974.0	1610	1610	100.0	9606
755	MAFTRR	1859	AC199238	198697	196.0	106	232	82.328	9598
756	POT1-AS1	3252	NR_125718	3983	6006.0	3252	3252	100.0	9606
757	POT1-AS1	3252	AC193000	184729	3123.0	1691	1853	97.248	9598
